Foram extraídas 200 proto-frases.
145 proto-frases distintas, sendo:

8 vezes (4.0 %): café manhà meio-dia etc 
7 vezes (3.5 %): café manhã decente seriviço bar ídem 
7 vezes (3.5 %): café manhã espartano 
6 vezes (3.0 %): café após 23h possível realizar ceia/jantar 
6 vezes (3.0 %): café manha atar 12 hs mto 
6 vezes (3.0 %): café manhã sistema bufê meio diário 
5 vezes (2.5 %): café manhã básico entretanto confortável outro 
3 vezes (1.5 %): café manhã básico entretanto confortável possibilidade 
2 vezes (1.0 %): café após 23h possível arriscar 
2 vezes (1.0 %): café casa suco salgado próximo estação 
2 vezes (1.0 %): café de+a manhã bastante simples bom 
2 vezes (1.0 %): café de+a manhã espartano 
2 vezes (1.0 %): café de+a manhã forma conforto localização 
2 vezes (1.0 %): café de+a manhã sistema bufê meio 
2 vezes (1.0 %): café manha incluso diaria conta outro 
2 vezes (1.0 %): café manhã básico entretanto confortável chuveiro 
2 vezes (1.0 %): café manhã básico entretanto confortável preço 
2 vezes (1.0 %): café manhã forma conforto localização ótimo 
2 vezes (1.0 %): café manhã incluso café manhã decente 
2 vezes (1.0 %): café manhã pago parte bom período 
2 vezes (1.0 %): café manhã sistema bufê meio caminho 
2 vezes (1.0 %): café melhor custo beneficiar ainda caro 
2 vezes (1.0 %): café quarto saguão 
1 vezes (0.5 %): café após 10h manhã básico entretanto 
1 vezes (0.5 %): café após 10h manhã pago estar 
1 vezes (0.5 %): café após 10h manhã preço razoável 
1 vezes (0.5 %): café casa suco redor hotel estar 
1 vezes (0.5 %): café casa suco redor hotel ficar 
1 vezes (0.5 %): café casa suco redor hotel rede 
1 vezes (0.5 %): café casa suco redor hotel rio 
1 vezes (0.5 %): café casa suco salgado cafe manha 
1 vezes (0.5 %): café casa suco salgado próximo ha 
1 vezes (0.5 %): café de+a manhã bom estadia hotel 
1 vezes (0.5 %): café de+a manhã decente seriviço bar 
1 vezes (0.5 %): café de+a manhã estar ansioso estar 
1 vezes (0.5 %): café de+a manhã estar bem humorado 
1 vezes (0.5 %): café de+a manhã estar bom custo 
1 vezes (0.5 %): café de+a manhã estar cheio então 
1 vezes (0.5 %): café de+a manhã estar cituado perto 
1 vezes (0.5 %): café de+a manhã estar dentro taxi 
1 vezes (0.5 %): café de+a manhã estar incluído tarifa 
1 vezes (0.5 %): café de+a manhã forma conforto cordialidade 
1 vezes (0.5 %): café de+a manhã forma conforto quarto 
1 vezes (0.5 %): café de+a manhã incluso café manha 
1 vezes (0.5 %): café de+a manhã incluso funcionar bem 
1 vezes (0.5 %): café de+a manhã incluso preço diante 
1 vezes (0.5 %): café de+a manhã pago estar carro 
1 vezes (0.5 %): café de+a manhã pago estar localizado 
1 vezes (0.5 %): café de+a manhã pago parte bom 
1 vezes (0.5 %): café de+a manhã preço diante valor 
1 vezes (0.5 %): café de+a manhã preço pago estar 
1 vezes (0.5 %): café manha incluso café quarto sao 
1 vezes (0.5 %): café manha incluso diaria quase tudo 
1 vezes (0.5 %): café manha incluso funcionar bem barato 
1 vezes (0.5 %): café manha incluso funcionar bem próximo 
1 vezes (0.5 %): café manha incluso preço dia semana 
1 vezes (0.5 %): café manha incluso preço realmente compatível 
1 vezes (0.5 %): café manha nao fornecer conforto cordialidade 
1 vezes (0.5 %): café manha nao ha serviço lanche 
1 vezes (0.5 %): café manha nao padaria comum esquina 
1 vezes (0.5 %): café manhã bastante amplo janela chamar 
1 vezes (0.5 %): café manhã bastante elevador considerando período 
1 vezes (0.5 %): café manhã bastante pequeno moderno piso 
1 vezes (0.5 %): café manhã bastante razoável bom inglês 
1 vezes (0.5 %): café manhã bom estadia hotel meio-dia 
1 vezes (0.5 %): café manhã bom estadia melhor outro 
1 vezes (0.5 %): café manhã bom hotel padrão ibis 
1 vezes (0.5 %): café manhã bom inglês bem organizado 
1 vezes (0.5 %): café manhã bom nado especial bom 
1 vezes (0.5 %): café manhã bom outro hotel completamente 
1 vezes (0.5 %): café manhã bom outro ponto forte 
1 vezes (0.5 %): café manhã bom padrão rio janeiro 
1 vezes (0.5 %): café manhã bom período réveillon único 
1 vezes (0.5 %): café manhã bom praticamente novo wi-fi 
1 vezes (0.5 %): café manhã bom velocidade split quarto 
1 vezes (0.5 %): café manhã bom velocidade split silencioso 
1 vezes (0.5 %): café manhã embora ainda todo simpaticos 
1 vezes (0.5 %): café manhã embora oferecer comodidade básico 
1 vezes (0.5 %): café manhã embora oferecer propor rede 
1 vezes (0.5 %): café manhã embora oferecer ótimo boteco 
1 vezes (0.5 %): café manhã estar ansioso estar incluído 
1 vezes (0.5 %): café manhã estar apenas 3 quadra 
1 vezes (0.5 %): café manhã estar apenas duas crianças.recomendo 
1 vezes (0.5 %): café manhã estar cheio então acomodação 
1 vezes (0.5 %): café manhã estar dentro taxi esperar 
1 vezes (0.5 %): café manhã estar incluso café de+a 
1 vezes (0.5 %): café manhã estar incluso diaria conta 
1 vezes (0.5 %): café manhã estar incluído tarifa quarto 
1 vezes (0.5 %): café manhã estar lá encontrar melhor 
1 vezes (0.5 %): café manhã forma conforto localização pena 
1 vezes (0.5 %): café manhã forma conforto quarto limpo 
1 vezes (0.5 %): café manhã forma conforto quarto saguão 
1 vezes (0.5 %): café manhã forma conforto quarto simples 
1 vezes (0.5 %): café manhã incluso diaria hotel novo 
1 vezes (0.5 %): café manhã incluso diaria hotel onde 
1 vezes (0.5 %): café manhã incluso diaria quase 300 
1 vezes (0.5 %): café manhã incluso diaria quase impossível 
1 vezes (0.5 %): café manhã incluso preço fazer corrido 
1 vezes (0.5 %): café manhã incluso preço realmente compatível 
1 vezes (0.5 %): café manhã pago estar procurar alternativo 
1 vezes (0.5 %): café manhã pago parte bom bom 
1 vezes (0.5 %): café manhã pago parte bom cerca 
